feature,lgbm,xgb,catboost,mean_importance
funeral_insurance,0.2118437991703619,1.0,1.0,0.7399084668392413
has_credit_card,0.1941067086253755,0.8596781,0.2355797000472466,0.4278461022982288
owner_age,1.0,0.044999953,0.14257875343044343,0.3933267611847233
total_business_months,0.9583035331140037,0.043053586,0.15779541179186596,0.38409828944048346
personal_income,0.9414962094121013,0.06055684,0.08323727188373531,0.35897817883372735
has_loan_account,0.18859962809326278,0.6186793,0.1876214106842599,0.33019333408276164
business_expenses,0.7310828207695609,0.09412477,0.09579722518007457,0.30488956362582226
has_insurance,0.11958232012587612,0.6447461,0.14195390577725334,0.30049272371215907
profit_margin,0.6072807895866114,0.04734663,0.10727921852177844,0.2525019829820549
business_turnover,0.5813188385066514,0.06304154,0.06003454857535053,0.2330506718059307
expense_ratio,0.5326848805607209,0.047535013,0.08248224866904844,0.21951652996676102
profit,0.48769846946073525,0.06287652,0.09246731227106425,0.21312863524638326
uses_friends_family_savings,0.20576455442712058,0.21341932,0.21101931967574347,0.2100772505307265
log_profit,0.4434987841510514,0.06941005,0.08719336216043103,0.19890565810822614
has_debit_card,0.18674009440709483,0.20180623,0.17297331596968432,0.1870312195753212
has_internet_banking,0.09862680589329137,0.24530612,0.0998380159484716,0.1474427914888409
has_mobile_money,0.20411958232012586,0.081409484,0.14674668726012982,0.14411846612447474
motor_vehicle_insurance,0.13760549277642684,0.19375929,0.09508956512391155,0.141680834516766
medical_insurance,0.1379630954083822,0.1985829,0.08931267899889138,0.1414264962955954
perception_insurance_important,0.09726791589186097,0.18837424,0.10173638003549794,0.12885228343430394
compliance_income_tax,0.11321699327707052,0.17902964,0.07972296768812655,0.12354720169534633
perception_insurance_doesnt_cover_losses,0.20283221284508654,0.044223286,0.08103067364507824,0.10907874432404352
owner_sex,0.09712487483907882,0.10908063,0.09232843869217261,0.09943948628834234
current_problem_cash_flow,0.14790444857674154,0.050767634,0.09770262024493337,0.09878067856449049
keeps_financial_records,0.1477614075239594,0.06359341,0.08229783785974984,0.09772835620515899
motivation_make_more_money,0.1584894864826205,0.044174545,0.08224300577359837,0.09484175267594039
covid_essential_service,0.15119439279073094,0.05602485,0.07521147546958251,0.09395425166199747
offers_credit_to_customers,0.14182520383350022,0.0556774,0.08156731613591134,0.09290874628521192
attitude_stable_business_environment,0.16750107280789586,0.043763068,0.06815041112024713,0.09288830621844033
attitude_worried_shutdown,0.13810613646116435,0.03766585,0.0800718948702443,0.08522920118607707
problem_sourcing_money,0.15062222857960234,0.041258395,0.05519673286869895,0.08208749568318643
future_risk_theft_stock,0.11958232012587612,0.05442989,0.06548924171996995,0.07969037125468317
perception_cannot_afford_insurance,0.14103847804319838,0.036246654,0.06210567318873988,0.07962002249069478
perception_insurance_companies_dont_insure_businesses_like_yours,0.08582463166928908,0.053848367,0.08614705126193942,0.07538208842913441
attitude_satisfied_with_achievement,0.12086968960091546,0.03915377,0.057788122019834846,0.07245570377216708
marketing_word_of_mouth,0.11371763696180803,0.046850994,0.055074403451048665,0.07171294568994513
uses_informal_lender,0.10420540695179517,0.053943045,0.030087298346966374,0.06241867229100377
country,0.02245744528679731,0.13945754,0.012416587971397232,0.057653585229866675
attitude_more_successful_next_year,0.08425118008868546,0.048665386,0.0353968782793864,0.055897405509314955
has_cellphone,0.0394078100414819,0.05763306,0.06582705030861967,0.05440468524387225
log_personal_income,0.0,0.0,0.06060247514219683,0.020604841548346922
log_business_turnover,0.0,0.0,0.0554774296508071,0.018862326081274413
log_business_expenses,0.0,0.0,0.05166323913372327,0.017565501305465914
